datetime,event_type
1744-04-26T20:28:23+00:00,Partial lunar eclipse
1744-10-21T12:25:44+00:00,Partial lunar eclipse
1745-03-17T23:36:30+00:00,Penumbral lunar eclipse
1745-04-16T08:34:08+00:00,Penumbral lunar eclipse
1745-09-10T22:01:46+00:00,Penumbral lunar eclipse
1745-10-10T14:56:10+00:00,Penumbral lunar eclipse
1746-03-07T15:51:33+00:00,Partial lunar eclipse
1746-08-30T23:47:32+00:00,Partial lunar eclipse
1747-02-25T05:16:58+00:00,Total lunar eclipse
1747-08-20T08:26:15+00:00,Total lunar eclipse
1748-02-14T11:57:22+00:00,Partial lunar eclipse
1748-08-08T23:22:44+00:00,Partial lunar eclipse
1749-01-03T17:02:23+00:00,Penumbral lunar eclipse
1749-02-02T12:08:56+00:00,Penumbral lunar eclipse
1749-06-30T09:08:32+00:00,Partial lunar eclipse
1749-07-29T16:30:16+00:00,Penumbral lunar eclipse
1749-12-23T20:01:27+00:00,Partial lunar eclipse
1750-06-19T21:02:18+00:00,Total lunar eclipse
1750-12-13T06:21:02+00:00,Total lunar eclipse
1751-06-09T01:41:14+00:00,Partial lunar eclipse
1751-12-02T21:26:08+00:00,Partial lunar eclipse
1752-04-28T11:34:24+00:00,Penumbral lunar eclipse
1752-05-28T02:13:14+00:00,Penumbral lunar eclipse
1752-10-23T01:12:10+00:00,Penumbral lunar eclipse
1752-11-21T12:43:14+00:00,Penumbral lunar eclipse
1753-04-17T18:32:34+00:00,Partial lunar eclipse
1753-10-12T08:50:45+00:00,Partial lunar eclipse
1754-04-07T08:07:17+00:00,Total lunar eclipse
1754-10-01T09:57:44+00:00,Total lunar eclipse
1755-03-28T00:35:41+00:00,Partial lunar eclipse
1755-09-20T10:33:24+00:00,Partial lunar eclipse
1756-02-16T02:47:08+00:00,Penumbral lunar eclipse
1756-03-16T15:17:05+00:00,Penumbral lunar eclipse
1756-08-10T07:36:02+00:00,Penumbral lunar eclipse
1756-09-08T17:18:45+00:00,Penumbral lunar eclipse
1757-02-04T07:16:09+00:00,Partial lunar eclipse
1757-07-30T23:39:04+00:00,Partial lunar eclipse
1758-01-24T06:33:30+00:00,Total lunar eclipse
1758-07-20T16:36:00+00:00,Total lunar eclipse
1759-01-13T08:05:51+00:00,Partial lunar eclipse
1759-07-10T05:48:13+00:00,Penumbral lunar eclipse
1759-12-04T05:01:13+00:00,Penumbral lunar eclipse
1760-01-02T16:46:41+00:00,Penumbral lunar eclipse
1760-05-29T21:32:56+00:00,Partial lunar eclipse
1760-11-22T20:40:52+00:00,Partial lunar eclipse
1761-05-18T22:11:14+00:00,Total lunar eclipse
1761-11-12T11:15:03+00:00,Total lunar eclipse
1762-05-08T03:44:52+00:00,Partial lunar eclipse
1762-11-01T20:19:05+00:00,Partial lunar eclipse
1763-03-29T07:48:31+00:00,Penumbral lunar eclipse
1763-04-27T16:19:52+00:00,Penumbral lunar eclipse
1763-09-22T05:02:17+00:00,Penumbral lunar eclipse
1763-10-21T22:21:58+00:00,Penumbral lunar eclipse
1764-03-18T00:10:22+00:00,Partial lunar eclipse
1764-09-10T06:57:44+00:00,Partial lunar eclipse
1765-03-07T13:28:12+00:00,Total lunar eclipse
1765-08-30T15:54:48+00:00,Total lunar eclipse
1766-02-24T19:52:06+00:00,Partial lunar eclipse
1766-08-20T07:00:59+00:00,Partial lunar eclipse
1767-01-15T01:07:29+00:00,Penumbral lunar eclipse
1767-02-13T19:58:16+00:00,Penumbral lunar eclipse
1767-07-11T16:26:30+00:00,Penumbral lunar eclipse
1767-08-10T00:02:09+00:00,Penumbral lunar eclipse
1768-01-04T04:28:47+00:00,Partial lunar eclipse
1768-06-30T03:55:35+00:00,Total lunar eclipse
1768-12-23T15:06:29+00:00,Total lunar eclipse
1769-06-19T08:10:55+00:00,Total lunar eclipse
1769-12-13T06:16:20+00:00,Partial lunar eclipse
1770-06-08T08:44:29+00:00,Penumbral lunar eclipse
1770-11-03T09:23:44+00:00,Penumbral lunar eclipse
1770-12-02T21:21:48+00:00,Penumbral lunar eclipse
1771-04-29T02:03:26+00:00,Partial lunar eclipse
1771-10-23T16:29:39+00:00,Partial lunar eclipse
1772-04-17T16:04:01+00:00,Total lunar eclipse
1772-10-11T17:13:56+00:00,Total lunar eclipse
1773-04-07T08:42:46+00:00,Partial lunar eclipse
1773-09-30T17:52:21+00:00,Partial lunar eclipse
1774-02-26T10:58:07+00:00,Penumbral lunar eclipse
1774-03-27T23:18:19+00:00,Penumbral lunar eclipse
1774-08-21T15:05:54+00:00,Penumbral lunar eclipse
1774-09-20T00:56:21+00:00,Penumbral lunar eclipse
1775-02-15T15:10:14+00:00,Partial lunar eclipse
1775-08-11T07:15:02+00:00,Partial lunar eclipse
1776-02-04T14:29:06+00:00,Total lunar eclipse
1776-07-31T00:01:19+00:00,Total lunar eclipse
1777-01-23T16:23:24+00:00,Partial lunar eclipse
1777-07-20T12:48:03+00:00,Partial lunar eclipse
1777-12-14T13:48:15+00:00,Penumbral lunar eclipse
1778-01-13T01:28:40+00:00,Penumbral lunar eclipse
1778-06-10T04:00:25+00:00,Penumbral lunar eclipse
1778-12-04T05:27:08+00:00,Partial lunar eclipse
1779-05-30T04:51:26+00:00,Total lunar eclipse
1779-11-23T19:44:02+00:00,Total lunar eclipse
1780-05-18T10:57:33+00:00,Partial lunar eclipse
1780-11-12T04:19:07+00:00,Partial lunar eclipse
1781-04-08T15:54:24+00:00,Penumbral lunar eclipse
1781-05-08T00:00:23+00:00,Penumbral lunar eclipse
1781-10-02T12:10:28+00:00,Penumbral lunar eclipse
1781-11-01T05:55:25+00:00,Penumbral lunar eclipse
1782-03-29T08:22:24+00:00,Partial lunar eclipse
1782-09-21T14:16:49+00:00,Partial lunar eclipse
1783-03-18T21:30:46+00:00,Total lunar eclipse
1783-09-10T23:32:22+00:00,Total lunar eclipse
1784-03-07T03:38:58+00:00,Partial lunar eclipse
1784-08-30T14:45:13+00:00,Partial lunar eclipse
1785-01-25T09:10:14+00:00,Penumbral lunar eclipse
1785-02-24T03:41:36+00:00,Penumbral lunar eclipse
1785-07-21T23:45:03+00:00,Penumbral lunar eclipse
1785-08-20T07:37:53+00:00,Penumbral lunar eclipse
1786-01-14T12:55:12+00:00,Partial lunar eclipse
1786-07-11T10:46:35+00:00,Total lunar eclipse
1787-01-03T23:52:53+00:00,Total lunar eclipse
1787-06-30T14:38:47+00:00,Total lunar eclipse
1787-12-24T15:07:45+00:00,Partial lunar eclipse
1788-06-18T15:14:40+00:00,Penumbral lunar eclipse
1788-11-13T17:41:51+00:00,Penumbral lunar eclipse
1788-12-13T06:03:43+00:00,Penumbral lunar eclipse
1789-05-09T09:27:55+00:00,Partial lunar eclipse
1789-11-03T00:16:21+00:00,Partial lunar eclipse
1790-04-28T23:52:54+00:00,Total lunar eclipse
1790-10-23T00:39:57+00:00,Total lunar eclipse
1791-04-18T16:40:44+00:00,Partial lunar eclipse
1791-10-12T01:22:36+00:00,Partial lunar eclipse
1792-03-08T19:01:37+00:00,Penumbral lunar eclipse
1792-04-07T07:11:18+00:00,Penumbral lunar eclipse
1792-08-31T22:41:57+00:00,Penumbral lunar eclipse
1792-09-30T08:42:22+00:00,Penumbral lunar eclipse
1793-02-25T22:58:49+00:00,Partial lunar eclipse
1793-08-21T14:54:37+00:00,Partial lunar eclipse
1794-02-14T22:20:32+00:00,Total lunar eclipse
1794-08-11T07:28:37+00:00,Total lunar eclipse
1795-02-04T00:39:01+00:00,Partial lunar eclipse
1795-07-31T19:49:50+00:00,Partial lunar eclipse
1795-12-25T22:36:50+00:00,Penumbral lunar eclipse
1796-01-24T10:08:37+00:00,Penumbral lunar eclipse
1796-06-20T10:27:24+00:00,Penumbral lunar eclipse
1796-12-14T14:15:58+00:00,Partial lunar eclipse
1797-06-09T11:29:39+00:00,Total lunar eclipse
1797-12-04T04:17:13+00:00,Total lunar eclipse
1798-05-29T18:06:42+00:00,Total lunar eclipse
1798-11-23T12:24:39+00:00,Partial lunar eclipse
1799-04-19T23:51:31+00:00,Penumbral lunar eclipse
1799-05-19T07:35:15+00:00,Penumbral lunar eclipse
1799-11-12T13:37:34+00:00,Penumbral lunar eclipse
1800-04-09T16:25:17+00:00,Partial lunar eclipse
1800-10-02T21:45:57+00:00,Partial lunar eclipse
1801-03-30T05:23:21+00:00,Total lunar eclipse
1801-09-22T07:18:11+00:00,Total lunar eclipse
1802-03-19T11:14:44+00:00,Partial lunar eclipse
1802-09-11T22:36:02+00:00,Partial lunar eclipse
1803-02-06T17:10:00+00:00,Penumbral lunar eclipse
1803-03-08T11:16:53+00:00,Penumbral lunar eclipse
1803-08-03T07:04:26+00:00,Penumbral lunar eclipse
1803-09-01T15:18:24+00:00,Penumbral lunar eclipse
1804-01-26T21:20:37+00:00,Partial lunar eclipse
1804-07-22T17:37:16+00:00,Partial lunar eclipse
1805-01-15T08:40:13+00:00,Total lunar eclipse
1805-07-11T21:04:08+00:00,Total lunar eclipse
1806-01-05T00:01:19+00:00,Partial lunar eclipse
1806-06-30T21:43:53+00:00,Penumbral lunar eclipse
1806-11-26T02:04:53+00:00,Penumbral lunar eclipse
1806-12-25T14:47:19+00:00,Penumbral lunar eclipse
1807-05-21T16:48:47+00:00,Partial lunar eclipse
1807-11-15T08:09:14+00:00,Partial lunar eclipse
1808-05-10T07:37:32+00:00,Total lunar eclipse
1808-11-03T08:12:54+00:00,Total lunar eclipse
1809-04-30T00:32:18+00:00,Partial lunar eclipse
1809-10-23T09:02:02+00:00,Partial lunar eclipse
1810-03-21T02:54:03+00:00,Penumbral lunar eclipse
1810-04-19T14:53:22+00:00,Penumbral lunar eclipse
1810-09-13T06:26:25+00:00,Penumbral lunar eclipse
1810-10-12T16:38:37+00:00,Penumbral lunar eclipse
1811-03-10T06:36:55+00:00,Partial lunar eclipse
1811-09-02T22:41:07+00:00,Partial lunar eclipse
1812-02-27T06:04:07+00:00,Total lunar eclipse
1812-08-22T15:00:38+00:00,Total lunar eclipse
1813-02-15T08:50:01+00:00,Partial lunar eclipse
1813-08-12T02:52:04+00:00,Partial lunar eclipse
1814-01-06T07:27:35+00:00,Penumbral lunar eclipse
1814-02-04T18:46:17+00:00,Penumbral lunar eclipse
1814-07-02T16:50:46+00:00,Penumbral lunar eclipse
1814-12-26T23:07:43+00:00,Partial lunar eclipse
1815-06-21T18:05:48+00:00,Total lunar eclipse
1815-12-16T12:54:22+00:00,Total lunar eclipse
1816-06-10T01:13:41+00:00,Total lunar eclipse
1816-12-04T20:34:30+00:00,Partial lunar eclipse
1817-05-01T07:43:19+00:00,Penumbral lunar eclipse
1817-05-30T15:06:45+00:00,Penumbral lunar eclipse
1817-11-23T21:26:11+00:00,Penumbral lunar eclipse
1818-04-21T00:19:46+00:00,Partial lunar eclipse
1818-10-14T05:24:44+00:00,Partial lunar eclipse
1819-04-10T13:07:08+00:00,Total lunar eclipse
1819-10-03T15:12:44+00:00,Total lunar eclipse
1820-03-29T18:41:58+00:00,Partial lunar eclipse
1820-09-22T06:34:25+00:00,Partial lunar eclipse
1821-02-17T01:04:36+00:00,Penumbral lunar eclipse
1821-03-18T18:44:13+00:00,Penumbral lunar eclipse
1821-08-13T14:26:00+00:00,Penumbral lunar eclipse
1821-09-11T23:04:11+00:00,Penumbral lunar eclipse
1822-02-06T05:42:42+00:00,Partial lunar eclipse
1822-08-03T00:29:23+00:00,Partial lunar eclipse
1823-01-26T17:24:09+00:00,Total lunar eclipse
1823-07-23T03:31:39+00:00,Total lunar eclipse
1824-01-16T08:53:24+00:00,Partial lunar eclipse
1824-07-11T04:14:14+00:00,Partial lunar eclipse
1824-12-06T10:31:56+00:00,Penumbral lunar eclipse
1825-01-04T23:31:08+00:00,Penumbral lunar eclipse
1825-06-01T00:05:34+00:00,Partial lunar eclipse
1825-11-25T16:08:41+00:00,Partial lunar eclipse
1826-05-21T15:14:40+00:00,Total lunar eclipse
1826-11-14T15:55:29+00:00,Total lunar eclipse
1827-05-11T08:16:13+00:00,Partial lunar eclipse
1827-11-03T16:51:11+00:00,Partial lunar eclipse
1828-03-31T10:38:01+00:00,Penumbral lunar eclipse
1828-04-29T22:27:55+00:00,Penumbral lunar eclipse
1828-09-23T14:18:57+00:00,Penumbral lunar eclipse
1828-10-23T00:43:58+00:00,Penumbral lunar eclipse
1829-03-20T14:07:29+00:00,Partial lunar eclipse
1829-09-13T06:32:43+00:00,Partial lunar eclipse
1830-03-09T13:42:12+00:00,Total lunar eclipse
1830-09-02T22:37:11+00:00,Total lunar eclipse
1831-02-26T16:55:37+00:00,Partial lunar eclipse
1831-08-23T09:59:12+00:00,Partial lunar eclipse
1832-01-17T16:17:30+00:00,Penumbral lunar eclipse
1832-02-16T03:19:57+00:00,Penumbral lunar eclipse
1832-07-12T23:15:14+00:00,Penumbral lunar eclipse
1832-08-11T14:14:09+00:00,Penumbral lunar eclipse
1833-01-06T07:59:01+00:00,Partial lunar eclipse
1833-07-02T00:42:37+00:00,Partial lunar eclipse
1833-12-26T21:32:10+00:00,Total lunar eclipse
1834-06-21T08:19:01+00:00,Total lunar eclipse
1834-12-16T04:47:22+00:00,Partial lunar eclipse
1835-05-12T15:28:00+00:00,Penumbral lunar eclipse
1835-06-10T22:35:08+00:00,Partial lunar eclipse
1835-12-05T05:19:33+00:00,Penumbral lunar eclipse
1836-05-01T08:06:05+00:00,Partial lunar eclipse
1836-10-24T13:13:58+00:00,Partial lunar eclipse
1837-04-20T20:40:00+00:00,Total lunar eclipse
1837-10-13T23:16:22+00:00,Total lunar eclipse
1838-04-10T01:58:04+00:00,Partial lunar eclipse
1838-10-03T14:40:43+00:00,Partial lunar eclipse
1839-02-28T08:52:57+00:00,Penumbral lunar eclipse
1839-03-30T02:02:19+00:00,Penumbral lunar eclipse
1839-08-24T21:51:29+00:00,Penumbral lunar eclipse
1839-09-23T06:56:54+00:00,Penumbral lunar eclipse
1840-02-17T14:01:50+00:00,Partial lunar eclipse
1840-08-13T07:22:24+00:00,Partial lunar eclipse
1841-02-06T02:06:29+00:00,Total lunar eclipse
1841-08-02T10:00:07+00:00,Total lunar eclipse
1842-01-26T17:43:43+00:00,Partial lunar eclipse
1842-07-22T10:46:54+00:00,Partial lunar eclipse
1842-12-17T19:01:45+00:00,Penumbral lunar eclipse
1843-01-16T08:13:39+00:00,Penumbral lunar eclipse
1843-06-12T07:21:32+00:00,Penumbral lunar eclipse
1843-07-11T16:49:08+00:00,Penumbral lunar eclipse
1843-12-07T00:10:46+00:00,Partial lunar eclipse
1844-05-31T22:49:59+00:00,Total lunar eclipse
1844-11-24T23:44:08+00:00,Total lunar eclipse
1845-05-21T15:53:46+00:00,Total lunar eclipse
1845-11-14T00:48:58+00:00,Partial lunar eclipse
1846-04-11T18:10:50+00:00,Penumbral lunar eclipse
1846-05-11T05:52:59+00:00,Penumbral lunar eclipse
1846-10-04T22:20:53+00:00,Penumbral lunar eclipse
1846-11-03T08:58:39+00:00,Penumbral lunar eclipse
1847-03-31T21:26:18+00:00,Partial lunar eclipse
1847-09-24T14:33:00+00:00,Partial lunar eclipse
1848-03-19T21:11:28+00:00,Total lunar eclipse
1848-09-13T06:18:40+00:00,Total lunar eclipse
1849-03-09T00:55:05+00:00,Partial lunar eclipse
1849-09-02T17:09:33+00:00,Partial lunar eclipse
1850-01-28T01:05:21+00:00,Penumbral lunar eclipse
1850-02-26T11:47:28+00:00,Penumbral lunar eclipse
1850-07-24T05:39:31+00:00,Penumbral lunar eclipse
1850-08-22T20:54:17+00:00,Penumbral lunar eclipse
1851-01-17T16:50:03+00:00,Partial lunar eclipse
1851-07-13T07:20:57+00:00,Partial lunar eclipse
1852-01-07T06:10:00+00:00,Total lunar eclipse
1852-07-01T15:25:28+00:00,Total lunar eclipse
1852-12-26T13:02:22+00:00,Partial lunar eclipse
1853-06-21T06:01:04+00:00,Partial lunar eclipse
1853-12-15T13:17:59+00:00,Penumbral lunar eclipse
1854-05-12T15:45:25+00:00,Partial lunar eclipse
1854-11-04T21:12:04+00:00,Partial lunar eclipse
1855-05-02T04:04:38+00:00,Total lunar eclipse
1855-10-25T07:28:56+00:00,Total lunar eclipse
1856-04-20T09:06:02+00:00,Partial lunar eclipse
1856-10-13T22:53:49+00:00,Total lunar eclipse
1857-03-10T16:34:39+00:00,Penumbral lunar eclipse
1857-04-09T09:12:33+00:00,Penumbral lunar eclipse
1857-09-04T05:21:32+00:00,Penumbral lunar eclipse
1857-10-03T14:56:12+00:00,Penumbral lunar eclipse
1858-02-27T22:13:36+00:00,Partial lunar eclipse
1858-08-24T14:20:02+00:00,Partial lunar eclipse
1859-02-17T10:42:44+00:00,Total lunar eclipse
1859-08-13T16:33:42+00:00,Total lunar eclipse
1860-02-07T02:29:01+00:00,Partial lunar eclipse
1860-08-01T17:24:18+00:00,Partial lunar eclipse
1860-12-28T03:33:11+00:00,Penumbral lunar eclipse
1861-01-26T16:53:17+00:00,Penumbral lunar eclipse
1861-06-22T14:34:31+00:00,Penumbral lunar eclipse
1861-07-21T23:49:52+00:00,Penumbral lunar eclipse
1861-12-17T08:17:58+00:00,Partial lunar eclipse
1862-06-12T06:20:19+00:00,Total lunar eclipse
1862-12-06T07:39:38+00:00,Total lunar eclipse
1863-06-01T23:25:30+00:00,Total lunar eclipse
1863-11-25T08:55:27+00:00,Partial lunar eclipse
1864-04-22T01:35:20+00:00,Penumbral lunar eclipse
1864-05-21T13:11:18+00:00,Penumbral lunar eclipse
1864-10-15T06:30:02+00:00,Penumbral lunar eclipse
1864-11-13T17:20:42+00:00,Penumbral lunar eclipse
1865-04-11T04:37:26+00:00,Partial lunar eclipse
1865-10-04T22:39:16+00:00,Partial lunar eclipse
1866-03-31T04:32:51+00:00,Total lunar eclipse
1866-09-24T14:06:30+00:00,Total lunar eclipse
1867-03-20T08:48:17+00:00,Partial lunar eclipse
1867-09-14T00:25:42+00:00,Partial lunar eclipse
1868-02-08T09:48:55+00:00,Penumbral lunar eclipse
1868-03-08T20:09:05+00:00,Penumbral lunar eclipse
1868-08-03T12:08:28+00:00,Penumbral lunar eclipse
1868-09-02T03:40:44+00:00,Penumbral lunar eclipse
1869-01-28T01:37:43+00:00,Partial lunar eclipse
1869-07-23T14:02:01+00:00,Partial lunar eclipse
1870-01-17T14:45:49+00:00,Total lunar eclipse
1870-07-12T22:33:39+00:00,Total lunar eclipse
1871-01-06T21:15:56+00:00,Partial lunar eclipse
1871-07-02T13:27:04+00:00,Partial lunar eclipse
1871-12-26T21:18:49+00:00,Penumbral lunar eclipse
1872-05-22T23:17:40+00:00,Partial lunar eclipse
1872-11-15T05:18:53+00:00,Partial lunar eclipse
1873-05-12T11:19:42+00:00,Total lunar eclipse
1873-11-04T15:50:19+00:00,Total lunar eclipse
1874-05-01T16:02:32+00:00,Partial lunar eclipse
1874-10-25T07:15:38+00:00,Total lunar eclipse
1875-04-20T16:14:37+00:00,Penumbral lunar eclipse
1875-09-15T12:56:45+00:00,Penumbral lunar eclipse
1875-10-14T23:02:10+00:00,Penumbral lunar eclipse
1876-03-10T06:20:47+00:00,Partial lunar eclipse
1876-09-03T21:21:50+00:00,Partial lunar eclipse
1877-02-27T19:14:54+00:00,Total lunar eclipse
1877-08-23T23:10:51+00:00,Total lunar eclipse
1878-02-17T11:10:21+00:00,Partial lunar eclipse
1878-08-13T00:07:39+00:00,Partial lunar eclipse
1879-01-08T12:03:27+00:00,Penumbral lunar eclipse
1879-02-07T01:27:49+00:00,Penumbral lunar eclipse
1879-07-03T21:49:44+00:00,Penumbral lunar eclipse
1879-08-02T06:56:58+00:00,Penumbral lunar eclipse
1879-12-28T16:25:37+00:00,Partial lunar eclipse
1880-06-22T13:49:42+00:00,Total lunar eclipse
1880-12-16T15:38:19+00:00,Total lunar eclipse
1881-06-12T06:53:00+00:00,Total lunar eclipse
1881-12-05T17:07:49+00:00,Partial lunar eclipse
1882-06-01T20:21:14+00:00,Penumbral lunar eclipse
1882-10-26T14:48:36+00:00,Penumbral lunar eclipse
1882-11-25T01:50:17+00:00,Penumbral lunar eclipse
1883-04-22T11:37:44+00:00,Partial lunar eclipse
1883-10-16T06:53:31+00:00,Partial lunar eclipse
1884-04-10T11:45:49+00:00,Total lunar eclipse
1884-10-04T22:01:11+00:00,Total lunar eclipse
1885-03-30T16:33:23+00:00,Partial lunar eclipse
1885-09-24T07:47:28+00:00,Partial lunar eclipse
1886-02-18T18:28:15+00:00,Penumbral lunar eclipse
1886-03-20T04:23:33+00:00,Penumbral lunar eclipse
1886-08-14T18:41:18+00:00,Penumbral lunar eclipse
1886-09-13T10:33:59+00:00,Penumbral lunar eclipse
1887-02-08T10:21:20+00:00,Partial lunar eclipse
1887-08-03T20:48:09+00:00,Partial lunar eclipse
1888-01-28T23:19:17+00:00,Total lunar eclipse
1888-07-23T05:44:03+00:00,Total lunar eclipse
1889-01-17T05:28:55+00:00,Partial lunar eclipse
1889-07-12T20:53:08+00:00,Partial lunar eclipse
1890-01-06T05:20:41+00:00,Penumbral lunar eclipse
1890-06-03T06:43:59+00:00,Penumbral lunar eclipse
1890-07-02T14:07:52+00:00,Penumbral lunar eclipse
1890-11-26T13:33:04+00:00,Partial lunar eclipse
1891-05-23T18:28:27+00:00,Total lunar eclipse
1891-11-16T00:18:02+00:00,Total lunar eclipse
1892-05-11T22:52:36+00:00,Partial lunar eclipse
1892-11-04T15:44:09+00:00,Total lunar eclipse
1893-04-30T23:08:13+00:00,Penumbral lunar eclipse
1893-09-25T20:38:19+00:00,Penumbral lunar eclipse
1893-10-25T07:15:31+00:00,Penumbral lunar eclipse
1894-03-21T14:19:44+00:00,Partial lunar eclipse
1894-09-15T04:30:41+00:00,Partial lunar eclipse
1895-03-11T03:38:25+00:00,Total lunar eclipse
1895-09-04T05:56:08+00:00,Total lunar eclipse
1896-02-28T19:44:56+00:00,Partial lunar eclipse
1896-08-23T06:56:35+00:00,Partial lunar eclipse
1897-01-18T20:32:25+00:00,Penumbral lunar eclipse
1897-02-17T09:56:59+00:00,Penumbral lunar eclipse
1897-07-14T05:04:36+00:00,Penumbral lunar eclipse
1897-08-12T14:07:53+00:00,Penumbral lunar eclipse
1898-01-08T00:34:01+00:00,Partial lunar eclipse
1898-07-03T21:16:35+00:00,Partial lunar eclipse
1898-12-27T23:41:08+00:00,Total lunar eclipse
1899-06-23T14:17:09+00:00,Total lunar eclipse
1899-12-17T01:25:01+00:00,Partial lunar eclipse
1900-06-13T03:26:54+00:00,Penumbral lunar eclipse
1900-12-06T10:25:45+00:00,Penumbral lunar eclipse
1901-05-03T18:29:53+00:00,Penumbral lunar eclipse
1901-10-27T15:14:33+00:00,Partial lunar eclipse
1902-04-22T18:51:56+00:00,Total lunar eclipse
1902-10-17T06:02:42+00:00,Total lunar eclipse
1903-04-12T00:12:15+00:00,Partial lunar eclipse
1903-10-06T15:16:49+00:00,Partial lunar eclipse
1904-03-02T03:01:48+00:00,Penumbral lunar eclipse
1904-03-31T12:31:45+00:00,Penumbral lunar eclipse
1904-09-24T17:34:01+00:00,Penumbral lunar eclipse
1905-02-19T18:59:18+00:00,Partial lunar eclipse
1905-08-15T03:40:15+00:00,Partial lunar eclipse
1906-02-09T07:46:13+00:00,Total lunar eclipse
1906-08-04T12:59:27+00:00,Total lunar eclipse
1907-01-29T13:37:15+00:00,Partial lunar eclipse
1907-07-25T04:21:43+00:00,Partial lunar eclipse
1908-01-18T13:20:53+00:00,Penumbral lunar eclipse
1908-06-14T14:05:48+00:00,Penumbral lunar eclipse
1908-07-13T21:33:12+00:00,Penumbral lunar eclipse
1908-12-07T21:54:26+00:00,Penumbral lunar eclipse
1909-06-04T01:28:07+00:00,Total lunar eclipse
1909-11-27T08:53:57+00:00,Total lunar eclipse
1910-05-24T05:33:32+00:00,Total lunar eclipse
1910-11-17T00:20:08+00:00,Total lunar eclipse
1911-05-13T05:55:39+00:00,Penumbral lunar eclipse
1911-11-06T15:36:00+00:00,Penumbral lunar eclipse
1912-04-01T22:13:33+00:00,Partial lunar eclipse
1912-09-26T11:44:06+00:00,Partial lunar eclipse
1913-03-22T11:57:05+00:00,Total lunar eclipse
1913-09-15T12:47:35+00:00,Total lunar eclipse
1914-03-12T04:12:23+00:00,Partial lunar eclipse
1914-09-04T13:54:13+00:00,Partial lunar eclipse
1915-01-31T04:57:01+00:00,Penumbral lunar eclipse
1915-03-01T18:18:47+00:00,Penumbral lunar eclipse
1915-07-26T12:23:56+00:00,Penumbral lunar eclipse
1915-08-24T21:26:31+00:00,Penumbral lunar eclipse
1916-01-20T08:38:57+00:00,Partial lunar eclipse
1916-07-15T04:45:24+00:00,Partial lunar eclipse
1917-01-08T07:44:04+00:00,Total lunar eclipse
1917-07-04T21:38:20+00:00,Total lunar eclipse
1917-12-28T09:45:48+00:00,Total lunar eclipse
1918-06-24T10:27:19+00:00,Partial lunar eclipse
1918-12-17T19:05:17+00:00,Penumbral lunar eclipse
1919-05-15T01:13:15+00:00,Penumbral lunar eclipse
1919-11-07T23:43:44+00:00,Partial lunar eclipse
1920-05-03T01:50:24+00:00,Total lunar eclipse
1920-10-27T14:10:54+00:00,Total lunar eclipse
1921-04-22T07:43:55+00:00,Total lunar eclipse
1921-10-16T22:53:16+00:00,Partial lunar eclipse
1922-03-13T11:28:03+00:00,Penumbral lunar eclipse
1922-04-11T20:31:29+00:00,Penumbral lunar eclipse
1922-10-06T00:43:07+00:00,Penumbral lunar eclipse
1923-03-03T03:31:25+00:00,Partial lunar eclipse
1923-08-26T10:39:08+00:00,Partial lunar eclipse
1924-02-20T16:08:11+00:00,Total lunar eclipse
1924-08-14T20:19:46+00:00,Total lunar eclipse
1925-02-08T21:41:38+00:00,Partial lunar eclipse
1925-08-04T11:52:13+00:00,Partial lunar eclipse
1926-01-28T21:19:41+00:00,Penumbral lunar eclipse
1926-06-25T21:24:22+00:00,Penumbral lunar eclipse
1926-07-25T04:59:29+00:00,Penumbral lunar eclipse
1926-12-19T06:19:23+00:00,Penumbral lunar eclipse
1927-06-15T08:23:57+00:00,Total lunar eclipse
1927-12-08T17:34:27+00:00,Total lunar eclipse
1928-06-03T12:09:13+00:00,Total lunar eclipse
1928-11-27T09:01:03+00:00,Total lunar eclipse
1929-05-23T12:37:00+00:00,Penumbral lunar eclipse
1929-11-17T00:02:28+00:00,Penumbral lunar eclipse
1930-04-13T05:58:10+00:00,Partial lunar eclipse
1930-10-07T19:06:26+00:00,Partial lunar eclipse
1931-04-02T20:07:11+00:00,Total lunar eclipse
1931-09-26T19:47:44+00:00,Total lunar eclipse
1932-03-22T12:31:55+00:00,Partial lunar eclipse
1932-09-14T21:00:15+00:00,Partial lunar eclipse
1933-02-10T13:16:51+00:00,Penumbral lunar eclipse
1933-03-12T02:32:18+00:00,Penumbral lunar eclipse
1933-08-05T19:45:23+00:00,Penumbral lunar eclipse
1933-09-04T04:51:35+00:00,Penumbral lunar eclipse
1934-01-30T16:41:59+00:00,Partial lunar eclipse
1934-07-26T12:14:54+00:00,Partial lunar eclipse
1935-01-19T15:46:51+00:00,Total lunar eclipse
1935-07-16T04:59:21+00:00,Total lunar eclipse
1936-01-08T18:09:14+00:00,Total lunar eclipse
1936-07-04T17:24:39+00:00,Partial lunar eclipse
1936-12-28T03:48:24+00:00,Penumbral lunar eclipse
1937-05-25T07:50:50+00:00,Penumbral lunar eclipse
1937-11-18T08:18:41+00:00,Partial lunar eclipse
1938-05-14T08:43:15+00:00,Total lunar eclipse
1938-11-07T22:25:58+00:00,Total lunar eclipse
1939-05-03T15:10:59+00:00,Total lunar eclipse
1939-10-28T06:35:59+00:00,Partial lunar eclipse
1940-03-23T19:47:33+00:00,Penumbral lunar eclipse
1940-04-22T04:25:42+00:00,Penumbral lunar eclipse
1940-10-16T08:00:34+00:00,Penumbral lunar eclipse
