datetime,event_type
1595-10-18T07:39:22+00:00,Total lunar eclipse
1596-04-12T20:34:46+00:00,Partial lunar eclipse
1596-10-06T07:44:25+00:00,Partial lunar eclipse
1597-03-04T00:16:10+00:00,Penumbral lunar eclipse
1597-08-27T03:08:01+00:00,Penumbral lunar eclipse
1597-09-25T13:40:06+00:00,Penumbral lunar eclipse
1598-02-21T05:34:43+00:00,Partial lunar eclipse
1598-08-16T18:47:14+00:00,Total lunar eclipse
1599-02-10T05:13:50+00:00,Total lunar eclipse
1599-08-06T11:41:21+00:00,Total lunar eclipse
1600-01-30T06:24:44+00:00,Partial lunar eclipse
1600-06-26T14:17:12+00:00,Penumbral lunar eclipse
1600-07-26T01:12:33+00:00,Penumbral lunar eclipse
1600-12-20T02:31:10+00:00,Penumbral lunar eclipse
1601-01-18T14:31:38+00:00,Penumbral lunar eclipse
1601-06-15T17:38:50+00:00,Partial lunar eclipse
1601-12-09T17:57:49+00:00,Partial lunar eclipse
1602-06-04T18:17:28+00:00,Total lunar eclipse
1602-11-29T08:39:42+00:00,Total lunar eclipse
1603-05-24T23:30:11+00:00,Partial lunar eclipse
1603-11-18T18:09:46+00:00,Partial lunar eclipse
1604-04-14T03:46:21+00:00,Penumbral lunar eclipse
1604-05-13T11:49:03+00:00,Penumbral lunar eclipse
1604-10-08T02:28:58+00:00,Penumbral lunar eclipse
1605-04-03T20:26:17+00:00,Partial lunar eclipse
1605-09-27T03:45:17+00:00,Partial lunar eclipse
1606-03-24T10:22:34+00:00,Total lunar eclipse
1606-09-16T11:54:36+00:00,Total lunar eclipse
1607-03-13T17:38:09+00:00,Penumbral lunar eclipse
1607-09-06T02:27:58+00:00,Partial lunar eclipse
1608-01-31T23:49:37+00:00,Penumbral lunar eclipse
1608-07-27T11:32:17+00:00,Partial lunar eclipse
1608-08-25T19:19:25+00:00,Penumbral lunar eclipse
1609-01-20T02:38:56+00:00,Partial lunar eclipse
1609-07-16T23:25:04+00:00,Total lunar eclipse
1610-01-09T12:43:52+00:00,Total lunar eclipse
1610-07-06T04:07:19+00:00,Partial lunar eclipse
1610-12-30T03:39:09+00:00,Partial lunar eclipse
1611-05-26T14:37:19+00:00,Penumbral lunar eclipse
1611-06-25T04:44:23+00:00,Penumbral lunar eclipse
1611-11-20T06:47:31+00:00,Penumbral lunar eclipse
1611-12-19T18:53:36+00:00,Penumbral lunar eclipse
1612-05-14T21:47:33+00:00,Partial lunar eclipse
1612-11-08T14:19:12+00:00,Partial lunar eclipse
1613-05-04T11:38:18+00:00,Total lunar eclipse
1613-10-28T15:10:55+00:00,Total lunar eclipse
1614-04-24T04:28:04+00:00,Partial lunar eclipse
1614-10-17T15:17:32+00:00,Partial lunar eclipse
1615-03-15T08:15:30+00:00,Penumbral lunar eclipse
1615-04-13T19:37:44+00:00,Penumbral lunar eclipse
1615-09-07T10:46:35+00:00,Penumbral lunar eclipse
1615-10-06T21:29:30+00:00,Penumbral lunar eclipse
1616-03-03T13:18:44+00:00,Partial lunar eclipse
1616-08-27T02:31:05+00:00,Total lunar eclipse
1617-02-20T12:58:09+00:00,Total lunar eclipse
1617-08-16T19:14:26+00:00,Total lunar eclipse
1618-02-09T14:32:40+00:00,Partial lunar eclipse
1618-08-06T08:18:59+00:00,Penumbral lunar eclipse
1618-12-31T11:19:14+00:00,Penumbral lunar eclipse
1619-01-29T23:06:23+00:00,Penumbral lunar eclipse
1619-06-27T00:04:04+00:00,Partial lunar eclipse
1619-12-21T02:48:43+00:00,Partial lunar eclipse
1620-06-15T00:50:04+00:00,Total lunar eclipse
1620-12-09T17:18:29+00:00,Total lunar eclipse
1621-06-04T06:32:01+00:00,Partial lunar eclipse
1621-11-29T02:22:17+00:00,Partial lunar eclipse
1622-04-25T11:37:03+00:00,Penumbral lunar eclipse
1622-05-24T19:17:32+00:00,Penumbral lunar eclipse
1622-10-19T09:53:52+00:00,Penumbral lunar eclipse
1623-04-15T04:22:49+00:00,Partial lunar eclipse
1623-10-08T11:17:57+00:00,Partial lunar eclipse
1624-04-03T18:11:24+00:00,Total lunar eclipse
1624-09-26T19:43:40+00:00,Total lunar eclipse
1625-03-24T01:10:44+00:00,Partial lunar eclipse
1625-09-16T10:23:31+00:00,Partial lunar eclipse
1626-02-11T07:43:11+00:00,Penumbral lunar eclipse
1626-08-07T18:55:39+00:00,Penumbral lunar eclipse
1626-09-06T03:05:14+00:00,Penumbral lunar eclipse
1627-01-31T10:58:33+00:00,Partial lunar eclipse
1627-07-28T06:20:55+00:00,Total lunar eclipse
1628-01-20T21:26:41+00:00,Total lunar eclipse
1628-07-16T10:36:12+00:00,Total lunar eclipse
1629-01-09T12:32:03+00:00,Partial lunar eclipse
1629-07-05T11:10:53+00:00,Penumbral lunar eclipse
1629-11-30T15:16:49+00:00,Penumbral lunar eclipse
1629-12-30T03:39:47+00:00,Penumbral lunar eclipse
