datetime,event_type,duration_minutes,duration_seconds
1736-09-05T08:30:26+00:00,Partial solar eclipse,,
1736-10-04T16:41:34+00:00,Partial solar eclipse,,
1737-03-01T14:35:17+00:00,Annular solar eclipse,04,08
1737-08-26T00:32:08+00:00,Total solar eclipse,44,03
1738-02-18T18:02:31+00:00,Annular solar eclipse,03,03
1738-08-15T11:40:12+00:00,Annular solar eclipse,00,01
1739-02-08T04:41:13+00:00,Total solar eclipse,27,01
1739-08-04T15:40:56+00:00,Annular solar eclipse,59,03
1739-12-30T09:22:03+00:00,Partial solar eclipse,,
1740-01-28T19:54:59+00:00,Partial solar eclipse,,
1740-06-24T02:18:54+00:00,Partial solar eclipse,,
1740-12-18T22:43:17+00:00,Annular solar eclipse,53,00
1741-06-13T10:12:48+00:00,Total solar eclipse,35,02
1741-12-08T05:38:00+00:00,Annular solar eclipse,51,06
1742-06-03T00:39:57+00:00,Total solar eclipse,00,05
1742-11-27T05:58:59+00:00,Annular solar eclipse,26,07
1743-04-24T10:00:10+00:00,Partial solar eclipse,,
1743-05-23T17:48:55+00:00,Partial solar eclipse,,
1743-10-17T14:25:42+00:00,Partial solar eclipse,,
1743-11-16T05:58:25+00:00,Partial solar eclipse,,
1744-04-12T22:15:24+00:00,Annular solar eclipse,59,00
1744-10-06T00:51:24+00:00,Total solar eclipse,04,02
1745-04-02T03:09:18+00:00,Annular solar eclipse,13,06
1745-09-25T16:28:56+00:00,Total solar eclipse,21,05
1746-03-22T03:02:49+00:00,Annular solar eclipse,51,06
1746-09-15T08:46:37+00:00,Total solar eclipse,23,03
1747-02-09T15:11:18+00:00,Partial solar eclipse,,
1747-03-11T05:18:08+00:00,Partial solar eclipse,,
1747-08-06T09:01:21+00:00,Partial solar eclipse,,
1747-09-04T21:07:57+00:00,Partial solar eclipse,,
1748-01-30T03:29:13+00:00,Total solar eclipse,12,02
1748-07-25T11:27:02+00:00,Annular solar eclipse,12,05
1749-01-18T19:08:56+00:00,Total solar eclipse,07,04
1749-07-14T12:19:20+00:00,Annular solar eclipse,46,04
1750-01-08T09:28:43+00:00,Hybrid or annular/total solar eclipse,24,00
1750-07-03T18:38:52+00:00,Partial solar eclipse,,
1750-11-29T00:58:14+00:00,Partial solar eclipse,,
1750-12-28T18:06:51+00:00,Partial solar eclipse,,
1751-05-25T00:55:16+00:00,Total solar eclipse,53,03
1751-11-18T00:26:00+00:00,Annular solar eclipse,45,06
1752-05-13T17:56:29+00:00,Total solar eclipse,42,05
1752-11-06T01:48:14+00:00,Annular solar eclipse,03,05
1753-05-03T07:39:40+00:00,Hybrid or annular/total solar eclipse,48,00
1753-10-26T10:22:01+00:00,Hybrid or annular/total solar eclipse,08,01
1754-03-23T22:28:59+00:00,Partial solar eclipse,,
1754-04-22T14:25:57+00:00,Partial solar eclipse,,
1754-09-16T16:25:41+00:00,Partial solar eclipse,,
1754-10-16T00:57:46+00:00,Partial solar eclipse,,
1755-03-12T22:09:32+00:00,Annular solar eclipse,07,07
1755-09-06T08:09:46+00:00,Total solar eclipse,00,03
1756-03-01T02:07:09+00:00,Annular solar eclipse,24,02
1756-08-25T18:46:17+00:00,Annular solar eclipse,38,01
1757-02-18T13:14:12+00:00,Total solar eclipse,51,01
1757-08-14T22:16:45+00:00,Annular solar eclipse,36,04
1758-01-09T18:13:42+00:00,Partial solar eclipse,,
1758-02-08T04:40:52+00:00,Partial solar eclipse,,
1758-07-05T08:57:44+00:00,Partial solar eclipse,,
1758-12-30T07:20:12+00:00,Annular solar eclipse,15,01
1759-06-24T17:20:59+00:00,Total solar eclipse,59,02
1759-12-19T13:50:05+00:00,Annular solar eclipse,25,07
1760-06-13T08:09:15+00:00,Total solar eclipse,27,05
1760-12-07T13:53:44+00:00,Annular solar eclipse,36,07
1761-05-04T17:43:11+00:00,Partial solar eclipse,,
1761-06-03T01:22:38+00:00,Partial solar eclipse,,
1761-11-26T14:00:27+00:00,Partial solar eclipse,,
1762-04-24T05:42:10+00:00,Annular solar eclipse,08,01
1762-10-17T09:00:34+00:00,Total solar eclipse,02,02
1763-04-13T10:19:31+00:00,Annular solar eclipse,11,06
1763-10-07T00:39:04+00:00,Total solar eclipse,09,05
1764-04-01T10:17:15+00:00,Annular solar eclipse,20,06
1764-09-25T16:41:43+00:00,Total solar eclipse,01,03
1765-02-19T23:28:38+00:00,Partial solar eclipse,,
1765-03-21T13:01:45+00:00,Partial solar eclipse,,
1765-08-16T15:54:02+00:00,Partial solar eclipse,,
1765-09-15T04:32:34+00:00,Partial solar eclipse,,
1766-02-09T12:09:44+00:00,Total solar eclipse,27,02
1766-08-05T17:56:58+00:00,Annular solar eclipse,15,05
1767-01-30T03:56:55+00:00,Total solar eclipse,06,04
1767-07-25T18:55:48+00:00,Annular solar eclipse,21,04
1768-01-19T18:09:29+00:00,Hybrid or annular/total solar eclipse,13,00
1768-07-14T01:40:57+00:00,Hybrid or annular/total solar eclipse,29,00
1768-12-09T09:01:39+00:00,Partial solar eclipse,,
1769-01-08T02:26:42+00:00,Partial solar eclipse,,
1769-06-04T08:28:34+00:00,Total solar eclipse,36,03
1769-11-28T08:18:40+00:00,Annular solar eclipse,38,06
1770-05-25T01:30:12+00:00,Total solar eclipse,31,05
1770-11-17T09:51:53+00:00,Annular solar eclipse,56,04
1771-05-14T15:00:02+00:00,Hybrid or annular/total solar eclipse,49,00
1771-11-06T18:41:02+00:00,Hybrid or annular/total solar eclipse,13,01
1772-04-03T05:43:53+00:00,Partial solar eclipse,,
1772-05-02T21:26:41+00:00,Partial solar eclipse,,
1772-09-27T00:28:19+00:00,Partial solar eclipse,,
1772-10-26T09:21:18+00:00,Partial solar eclipse,,
1773-03-23T05:36:58+00:00,Annular solar eclipse,13,06
1773-09-16T15:52:23+00:00,Total solar eclipse,18,02
1774-03-12T10:05:14+00:00,Annular solar eclipse,43,01
1774-09-06T01:57:40+00:00,Annular solar eclipse,20,02
1775-03-01T21:39:20+00:00,Total solar eclipse,20,02
1775-08-26T04:59:40+00:00,Annular solar eclipse,16,05
1776-01-21T03:02:27+00:00,Partial solar eclipse,,
1776-02-19T13:20:11+00:00,Partial solar eclipse,,
1776-07-15T15:39:29+00:00,Partial solar eclipse,,
1776-08-14T05:22:56+00:00,Partial solar eclipse,,
1777-01-09T15:55:35+00:00,Annular solar eclipse,32,01
1777-07-05T00:29:29+00:00,Total solar eclipse,17,03
1777-12-29T22:03:28+00:00,Annular solar eclipse,53,07
1778-06-24T15:34:56+00:00,Total solar eclipse,52,05
1778-12-18T21:53:54+00:00,Annular solar eclipse,44,07
1779-05-16T01:17:39+00:00,Partial solar eclipse,,
1779-06-14T08:51:28+00:00,Partial solar eclipse,,
1779-12-07T22:08:56+00:00,Partial solar eclipse,,
1780-05-04T13:00:42+00:00,Annular solar eclipse,21,01
1780-10-27T17:18:27+00:00,Total solar eclipse,00,02
1781-04-23T17:21:26+00:00,Annular solar eclipse,13,06
1781-10-17T08:55:59+00:00,Total solar eclipse,59,04
1782-04-12T17:24:47+00:00,Annular solar eclipse,51,05
1782-10-07T00:43:19+00:00,Total solar eclipse,37,02
1783-03-03T07:40:30+00:00,Partial solar eclipse,,
1783-04-01T20:38:39+00:00,Partial solar eclipse,,
1783-08-27T22:52:06+00:00,Partial solar eclipse,,
1783-09-26T12:04:17+00:00,Partial solar eclipse,,
1784-02-20T20:45:38+00:00,Total solar eclipse,44,02
1784-08-16T00:31:53+00:00,Annular solar eclipse,23,05
1785-02-09T12:40:41+00:00,Total solar eclipse,07,04
1785-08-05T01:37:22+00:00,Annular solar eclipse,01,04
1786-01-30T02:45:26+00:00,Hybrid or annular/total solar eclipse,05,00
1786-07-25T08:46:33+00:00,Total solar eclipse,59,00
1786-12-20T17:07:24+00:00,Partial solar eclipse,,
1787-01-19T10:43:13+00:00,Partial solar eclipse,,
1787-06-15T15:59:25+00:00,Total solar eclipse,09,03
1787-12-09T16:15:38+00:00,Annular solar eclipse,32,06
1788-06-04T08:59:31+00:00,Total solar eclipse,15,05
1788-11-27T18:02:54+00:00,Annular solar eclipse,46,04
1789-05-24T22:11:58+00:00,Hybrid or annular/total solar eclipse,46,00
1789-11-17T03:08:35+00:00,Hybrid or annular/total solar eclipse,19,01
1790-04-14T12:48:15+00:00,Partial solar eclipse,,
1790-05-14T04:17:21+00:00,Partial solar eclipse,,
1790-10-08T08:38:52+00:00,Partial solar eclipse,,
1790-11-06T17:53:11+00:00,Partial solar eclipse,,
1791-04-03T12:55:13+00:00,Annular solar eclipse,21,05
1791-09-27T23:42:30+00:00,Total solar eclipse,38,01
1792-03-22T17:57:34+00:00,Annular solar eclipse,02,01
1792-09-16T09:13:52+00:00,Annular solar eclipse,02,03
1793-03-12T06:00:07+00:00,Total solar eclipse,51,02
1793-09-05T11:47:24+00:00,Annular solar eclipse,02,06
1794-01-31T11:48:45+00:00,Partial solar eclipse,,
1794-03-01T21:54:00+00:00,Partial solar eclipse,,
1794-07-26T22:24:27+00:00,Partial solar eclipse,,
1794-08-25T12:08:56+00:00,Partial solar eclipse,,
1795-01-21T00:29:13+00:00,Annular solar eclipse,44,01
1795-07-16T07:41:36+00:00,Total solar eclipse,26,03
1796-01-10T06:14:52+00:00,Annular solar eclipse,15,08
1796-07-04T23:02:54+00:00,Total solar eclipse,15,06
1796-12-29T05:54:58+00:00,Annular solar eclipse,51,07
1797-06-24T16:18:13+00:00,Total solar eclipse,47,02
1797-12-18T06:21:51+00:00,Partial solar eclipse,,
1798-05-15T20:10:32+00:00,Annular solar eclipse,36,01
1798-11-08T01:44:39+00:00,Total solar eclipse,59,01
1799-05-05T00:13:08+00:00,Annular solar eclipse,20,06
1799-10-28T17:21:46+00:00,Total solar eclipse,50,04
1800-04-24T00:24:00+00:00,Annular solar eclipse,27,05
1800-10-18T08:51:53+00:00,Total solar eclipse,14,02
1801-03-14T15:45:35+00:00,Partial solar eclipse,,
1801-04-13T04:08:06+00:00,Partial solar eclipse,,
1801-09-08T05:54:40+00:00,Partial solar eclipse,,
1801-10-07T19:42:34+00:00,Partial solar eclipse,,
1802-03-04T05:14:29+00:00,Total solar eclipse,02,03
1802-08-28T07:12:00+00:00,Annular solar eclipse,35,05
1803-02-21T21:18:46+00:00,Total solar eclipse,09,04
1803-08-17T08:25:03+00:00,Annular solar eclipse,47,03
1804-02-11T11:16:33+00:00,Hybrid or annular/total solar eclipse,00,00
1804-08-05T15:57:13+00:00,Total solar eclipse,20,01
1805-01-01T01:14:57+00:00,Partial solar eclipse,,
1805-01-30T18:57:01+00:00,Partial solar eclipse,,
1805-06-26T23:27:40+00:00,Partial solar eclipse,,
1805-07-26T06:14:19+00:00,Partial solar eclipse,,
1805-12-21T00:17:38+00:00,Annular solar eclipse,27,06
1806-06-16T16:24:27+00:00,Total solar eclipse,55,04
1806-12-10T02:19:40+00:00,Annular solar eclipse,32,04
1807-06-06T05:18:31+00:00,Hybrid or annular/total solar eclipse,38,00
1807-11-29T11:42:09+00:00,Hybrid or annular/total solar eclipse,26,01
1808-05-25T11:02:35+00:00,Partial solar eclipse,,
1808-10-19T16:55:30+00:00,Partial solar eclipse,,
1808-11-18T02:30:03+00:00,Partial solar eclipse,,
1809-04-14T20:07:11+00:00,Annular solar eclipse,35,04
1809-10-09T07:38:42+00:00,Total solar eclipse,02,01
1810-04-04T01:41:19+00:00,Annular solar eclipse,21,00
1810-09-28T16:37:25+00:00,Annular solar eclipse,45,03
1811-03-24T14:12:13+00:00,Total solar eclipse,27,03
1811-09-17T18:43:45+00:00,Annular solar eclipse,51,06
1812-02-12T20:28:40+00:00,Partial solar eclipse,,
1812-03-13T06:19:31+00:00,Partial solar eclipse,,
1812-08-07T05:15:50+00:00,Partial solar eclipse,,
1812-09-05T19:04:10+00:00,Partial solar eclipse,,
1813-02-01T08:58:27+00:00,Annular solar eclipse,53,01
1813-07-27T14:55:35+00:00,Total solar eclipse,27,03
1814-01-21T14:24:47+00:00,Annular solar eclipse,28,08
1814-07-17T06:30:29+00:00,Total solar eclipse,33,06
1815-01-10T13:57:06+00:00,Annular solar eclipse,55,07
1815-07-06T23:43:07+00:00,Total solar eclipse,13,03
1815-12-30T14:38:39+00:00,Partial solar eclipse,,
1816-05-27T03:13:24+00:00,Annular solar eclipse,54,01
1816-11-19T10:17:23+00:00,Total solar eclipse,00,02
1817-05-16T06:58:14+00:00,Annular solar eclipse,30,06
1817-11-09T01:53:53+00:00,Total solar eclipse,42,04
1818-05-05T07:15:49+00:00,Annular solar eclipse,05,05
1818-10-29T17:07:10+00:00,Total solar eclipse,51,01
1819-03-25T23:44:30+00:00,Partial solar eclipse,,
1819-04-24T11:31:59+00:00,Partial solar eclipse,,
1819-09-19T13:03:47+00:00,Partial solar eclipse,,
1819-10-19T03:27:17+00:00,Partial solar eclipse,,
1820-03-14T13:37:15+00:00,Total solar eclipse,20,03
1820-09-07T13:59:58+00:00,Annular solar eclipse,49,05
1821-03-04T05:50:13+00:00,Total solar eclipse,14,04
1821-08-27T15:19:42+00:00,Annular solar eclipse,38,03
1822-02-21T19:40:40+00:00,Annular solar eclipse,02,00
1822-08-16T23:14:34+00:00,Total solar eclipse,35,01
1823-01-12T09:20:12+00:00,Partial solar eclipse,,
1823-02-11T03:03:02+00:00,Partial solar eclipse,,
1823-07-08T06:56:28+00:00,Partial solar eclipse,,
1823-08-06T13:45:42+00:00,Partial solar eclipse,,
1824-01-01T08:21:09+00:00,Annular solar eclipse,21,06
1824-06-26T23:46:33+00:00,Total solar eclipse,31,04
1824-12-20T10:40:36+00:00,Annular solar eclipse,15,04
1825-06-16T12:19:03+00:00,Hybrid or annular/total solar eclipse,25,00
1825-12-09T20:21:45+00:00,Hybrid or annular/total solar eclipse,34,01
1826-06-05T17:39:05+00:00,Partial solar eclipse,,
1826-10-31T01:20:39+00:00,Partial solar eclipse,,
1826-11-29T11:14:08+00:00,Partial solar eclipse,,
1827-04-26T03:11:14+00:00,Annular solar eclipse,53,03
1827-10-20T15:42:05+00:00,Hybrid or annular/total solar eclipse,30,00
1828-04-14T09:19:38+00:00,Hybrid or annular/total solar eclipse,18,00
1828-10-09T00:07:47+00:00,Annular solar eclipse,26,04
1829-04-03T22:18:36+00:00,Total solar eclipse,05,04
1829-09-28T01:46:53+00:00,Annular solar eclipse,43,07
1830-02-23T05:04:13+00:00,Partial solar eclipse,,
1830-03-24T14:38:43+00:00,Partial solar eclipse,,
1830-08-18T12:13:35+00:00,Partial solar eclipse,,
1830-09-17T02:08:12+00:00,Partial solar eclipse,,
1831-02-12T17:21:45+00:00,Annular solar eclipse,57,01
1831-08-07T22:15:59+00:00,Total solar eclipse,20,03
1832-02-01T22:30:14+00:00,Annular solar eclipse,35,08
1832-07-27T14:01:06+00:00,Total solar eclipse,46,06
1833-01-20T21:56:55+00:00,Annular solar eclipse,59,07
1833-07-17T07:08:02+00:00,Total solar eclipse,29,03
1834-01-09T22:55:31+00:00,Partial solar eclipse,,
1834-06-07T10:08:38+00:00,Partial solar eclipse,,
1834-11-30T18:56:35+00:00,Total solar eclipse,02,02
1835-05-27T13:35:42+00:00,Annular solar eclipse,44,06
1835-11-20T10:31:58+00:00,Total solar eclipse,35,04
1836-05-15T14:01:39+00:00,Annular solar eclipse,47,04
1836-11-09T01:29:26+00:00,Total solar eclipse,28,01
1837-04-05T07:35:30+00:00,Partial solar eclipse,,
1837-05-04T18:48:28+00:00,Partial solar eclipse,,
1837-10-29T11:19:24+00:00,Partial solar eclipse,,
1838-03-25T21:52:16+00:00,Total solar eclipse,39,03
1838-09-18T20:55:56+00:00,Annular solar eclipse,06,06
1839-03-15T14:13:42+00:00,Total solar eclipse,20,04
1839-09-07T22:23:26+00:00,Annular solar eclipse,34,03
1840-03-04T03:58:22+00:00,Annular solar eclipse,03,00
1840-08-27T06:37:32+00:00,Total solar eclipse,45,01
1841-01-22T17:24:16+00:00,Partial solar eclipse,,
1841-02-21T11:03:56+00:00,Partial solar eclipse,,
1841-07-18T14:25:14+00:00,Partial solar eclipse,,
1841-08-16T21:20:24+00:00,Partial solar eclipse,,
1842-01-11T16:25:41+00:00,Annular solar eclipse,15,06
1842-07-08T07:06:27+00:00,Total solar eclipse,05,04
1842-12-31T19:04:24+00:00,Annular solar eclipse,54,03
1843-06-27T19:17:03+00:00,Hybrid or annular/total solar eclipse,07,00
1843-12-21T05:03:26+00:00,Total solar eclipse,43,01
1844-06-16T00:13:22+00:00,Partial solar eclipse,,
1844-11-10T09:51:45+00:00,Partial solar eclipse,,
1844-12-09T20:01:39+00:00,Partial solar eclipse,,
1845-05-06T10:09:00+00:00,Annular solar eclipse,15,03
1845-10-30T23:51:58+00:00,Hybrid or annular/total solar eclipse,02,00
1846-04-25T16:50:30+00:00,Hybrid or annular/total solar eclipse,53,00
1846-10-20T07:46:12+00:00,Annular solar eclipse,05,05
1847-04-15T06:16:13+00:00,Total solar eclipse,44,04
1847-10-09T09:00:23+00:00,Annular solar eclipse,35,08
1848-03-05T13:31:35+00:00,Partial solar eclipse,,
1848-04-03T22:49:07+00:00,Partial solar eclipse,,
1848-08-28T19:18:22+00:00,Partial solar eclipse,,
1848-09-27T09:21:19+00:00,Partial solar eclipse,,
1849-02-23T01:38:09+00:00,Annular solar eclipse,58,01
1849-08-18T05:40:49+00:00,Total solar eclipse,07,03
1850-02-12T06:29:37+00:00,Annular solar eclipse,35,08
1850-08-07T21:33:54+00:00,Total solar eclipse,50,06
1851-02-01T05:54:27+00:00,Annular solar eclipse,01,08
1851-07-28T14:33:42+00:00,Total solar eclipse,41,03
1852-01-21T07:12:16+00:00,Partial solar eclipse,,
1852-06-17T16:59:50+00:00,Partial solar eclipse,,
1852-12-11T03:40:44+00:00,Total solar eclipse,05,02
1853-06-06T20:07:21+00:00,Annular solar eclipse,59,06
1853-11-30T19:15:39+00:00,Total solar eclipse,28,04
1854-05-26T20:42:53+00:00,Annular solar eclipse,32,04
1854-11-20T09:56:58+00:00,Hybrid or annular/total solar eclipse,07,01
1855-05-16T02:01:12+00:00,Partial solar eclipse,,
1855-11-09T19:17:51+00:00,Partial solar eclipse,,
1856-04-05T06:01:01+00:00,Total solar eclipse,56,03
1856-09-29T03:59:44+00:00,Annular solar eclipse,21,06
1857-03-25T22:29:38+00:00,Total solar eclipse,28,04
1857-09-18T05:36:05+00:00,Annular solar eclipse,34,03
1858-03-15T12:05:28+00:00,Annular solar eclipse,02,00
1858-09-07T14:09:29+00:00,Total solar eclipse,50,01
1859-02-03T01:22:42+00:00,Partial solar eclipse,,
1859-03-04T18:54:49+00:00,Partial solar eclipse,,
1859-07-29T21:56:57+00:00,Partial solar eclipse,,
1859-08-28T05:02:00+00:00,Partial solar eclipse,,
1860-01-23T00:27:31+00:00,Annular solar eclipse,07,06
1860-07-18T14:26:24+00:00,Total solar eclipse,39,03
1861-01-11T03:29:23+00:00,Annular solar eclipse,30,03
1861-07-08T02:10:26+00:00,Annular solar eclipse,14,00
1861-12-31T13:49:06+00:00,Total solar eclipse,55,01
1862-06-27T06:42:21+00:00,Partial solar eclipse,,
1862-11-21T18:29:48+00:00,Partial solar eclipse,,
1862-12-21T04:53:03+00:00,Partial solar eclipse,,
1863-05-17T17:00:45+00:00,Partial solar eclipse,,
1863-11-11T08:09:03+00:00,Annular solar eclipse,22,00
1864-05-06T00:16:48+00:00,Hybrid or annular/total solar eclipse,25,01
1864-10-30T15:30:31+00:00,Annular solar eclipse,41,05
1865-04-25T14:08:34+00:00,Total solar eclipse,23,05
1865-10-19T16:21:14+00:00,Annular solar eclipse,27,09
1866-03-16T21:51:25+00:00,Partial solar eclipse,,
1866-04-15T06:51:40+00:00,Partial solar eclipse,,
1866-10-08T16:44:22+00:00,Partial solar eclipse,,
1867-03-06T09:46:48+00:00,Annular solar eclipse,57,01
1867-08-29T13:13:07+00:00,Total solar eclipse,51,02
1868-02-23T14:21:31+00:00,Annular solar eclipse,30,08
1868-08-18T05:12:10+00:00,Total solar eclipse,47,06
1869-02-11T13:46:39+00:00,Annular solar eclipse,02,08
1869-08-07T22:01:05+00:00,Total solar eclipse,48,03
1870-01-31T15:26:25+00:00,Partial solar eclipse,,
1870-06-28T23:46:43+00:00,Partial solar eclipse,,
1870-07-28T11:02:31+00:00,Partial solar eclipse,,
1870-12-22T12:27:33+00:00,Total solar eclipse,11,02
1871-06-18T02:35:01+00:00,Annular solar eclipse,14,07
1871-12-12T04:03:38+00:00,Total solar eclipse,23,04
1872-06-06T03:20:03+00:00,Annular solar eclipse,20,04
1872-11-30T18:29:33+00:00,Hybrid or annular/total solar eclipse,47,00
1873-05-26T09:08:56+00:00,Partial solar eclipse,,
1873-11-20T03:22:52+00:00,Partial solar eclipse,,
1874-04-16T14:00:53+00:00,Total solar eclipse,11,04
1874-10-10T11:13:33+00:00,Annular solar eclipse,28,06
1875-04-06T06:37:26+00:00,Total solar eclipse,37,04
1875-09-29T12:58:09+00:00,Annular solar eclipse,36,03
1876-03-25T20:05:06+00:00,Annular solar eclipse,01,00
1876-09-17T21:49:15+00:00,Total solar eclipse,53,01
1877-03-15T02:38:09+00:00,Partial solar eclipse,,
1877-08-09T05:30:24+00:00,Partial solar eclipse,,
1877-09-07T12:48:42+00:00,Partial solar eclipse,,
1878-02-02T08:27:52+00:00,Annular solar eclipse,59,05
1878-07-29T21:47:18+00:00,Total solar eclipse,11,03
1879-01-22T11:53:08+00:00,Annular solar eclipse,03,03
1879-07-19T09:04:32+00:00,Annular solar eclipse,39,00
1880-01-11T22:34:25+00:00,Total solar eclipse,07,02
1880-07-07T13:10:28+00:00,Annular solar eclipse,47,05
1880-12-02T03:11:33+00:00,Partial solar eclipse,,
1880-12-31T13:45:01+00:00,Partial solar eclipse,,
1881-05-27T23:48:41+00:00,Partial solar eclipse,,
1881-11-21T16:31:10+00:00,Annular solar eclipse,43,00
1882-05-17T07:36:27+00:00,Total solar eclipse,50,01
1882-11-10T23:22:21+00:00,Annular solar eclipse,14,06
1883-05-06T21:53:49+00:00,Total solar eclipse,58,05
1883-10-30T23:50:54+00:00,Annular solar eclipse,17,10
1884-03-27T06:02:11+00:00,Partial solar eclipse,,
1884-04-25T14:46:17+00:00,Partial solar eclipse,,
1884-10-19T00:17:42+00:00,Partial solar eclipse,,
1885-03-16T17:45:43+00:00,Annular solar eclipse,55,01
1885-09-08T20:51:52+00:00,Total solar eclipse,31,02
1886-03-05T22:05:26+00:00,Annular solar eclipse,20,08
1886-08-29T12:55:23+00:00,Total solar eclipse,36,06
1887-02-22T21:33:04+00:00,Annular solar eclipse,01,08
1887-08-19T05:32:05+00:00,Total solar eclipse,50,03
1888-02-11T23:38:15+00:00,Partial solar eclipse,,
1888-07-09T06:30:52+00:00,Partial solar eclipse,,
1888-08-07T18:05:46+00:00,Partial solar eclipse,,
1889-01-01T21:16:50+00:00,Total solar eclipse,17,02
1889-06-28T09:00:00+00:00,Annular solar eclipse,22,07
1889-12-22T12:54:15+00:00,Total solar eclipse,18,04
1890-06-17T09:55:05+00:00,Annular solar eclipse,09,04
1890-12-12T03:05:28+00:00,Hybrid or annular/total solar eclipse,28,00
1891-06-06T16:15:36+00:00,Annular solar eclipse,06,00
1891-12-01T11:31:08+00:00,Partial solar eclipse,,
1892-04-26T21:55:20+00:00,Total solar eclipse,19,04
1892-10-20T18:36:06+00:00,Partial solar eclipse,,
1893-04-16T14:36:11+00:00,Total solar eclipse,47,04
1893-10-09T20:30:22+00:00,Annular solar eclipse,41,03
1894-04-06T03:53:41+00:00,Hybrid or annular/total solar eclipse,01,00
1894-09-29T05:39:02+00:00,Total solar eclipse,55,01
1895-03-26T10:09:33+00:00,Partial solar eclipse,,
1895-08-20T13:09:16+00:00,Partial solar eclipse,,
1895-09-18T20:44:01+00:00,Partial solar eclipse,,
1896-02-13T16:23:13+00:00,Annular solar eclipse,48,05
1896-08-09T05:09:00+00:00,Total solar eclipse,43,02
1897-02-01T20:15:15+00:00,Annular solar eclipse,34,02
1897-07-29T15:56:58+00:00,Annular solar eclipse,05,01
1898-01-22T07:19:12+00:00,Total solar eclipse,21,02
1898-07-18T19:36:54+00:00,Annular solar eclipse,11,06
1898-12-13T11:58:13+00:00,Partial solar eclipse,,
1899-01-11T22:38:02+00:00,Partial solar eclipse,,
1899-06-08T06:33:43+00:00,Partial solar eclipse,,
1899-12-03T00:57:28+00:00,Annular solar eclipse,01,01
1900-05-28T14:53:56+00:00,Total solar eclipse,10,02
1900-11-22T07:19:43+00:00,Annular solar eclipse,42,06
1901-05-18T05:33:48+00:00,Total solar eclipse,29,06
1901-11-11T07:28:21+00:00,Annular solar eclipse,01,11
1902-04-08T14:05:06+00:00,Partial solar eclipse,,
1902-05-07T22:34:16+00:00,Partial solar eclipse,,
1902-10-31T08:00:18+00:00,Partial solar eclipse,,
1903-03-29T01:35:23+00:00,Annular solar eclipse,53,01
1903-09-21T04:39:52+00:00,Total solar eclipse,12,02
1904-03-17T05:40:44+00:00,Annular solar eclipse,07,08
1904-09-09T20:44:21+00:00,Total solar eclipse,20,06
1905-03-06T05:12:26+00:00,Annular solar eclipse,58,07
1905-08-30T13:07:26+00:00,Total solar eclipse,46,03
1906-02-23T07:43:20+00:00,Partial solar eclipse,,
1906-07-21T13:14:19+00:00,Partial solar eclipse,,
1906-08-20T01:12:50+00:00,Partial solar eclipse,,
1907-01-14T06:05:43+00:00,Total solar eclipse,25,02
1907-07-10T15:24:32+00:00,Annular solar eclipse,23,07
1908-01-03T21:45:22+00:00,Total solar eclipse,14,04
1908-06-28T16:29:51+00:00,Annular solar eclipse,00,04
1908-12-23T11:44:28+00:00,Hybrid or annular/total solar eclipse,12,00
1909-06-17T23:18:38+00:00,Hybrid or annular/total solar eclipse,24,00
1909-12-12T19:44:48+00:00,Partial solar eclipse,,
1910-05-09T05:42:13+00:00,Total solar eclipse,15,04
1910-11-02T02:08:32+00:00,Partial solar eclipse,,
1911-04-28T22:27:22+00:00,Total solar eclipse,57,04
1911-10-22T04:13:02+00:00,Annular solar eclipse,47,03
1912-04-17T11:34:22+00:00,Hybrid or annular/total solar eclipse,02,00
1912-10-10T13:36:14+00:00,Total solar eclipse,55,01
1913-04-06T17:33:07+00:00,Partial solar eclipse,,
1913-08-31T20:52:12+00:00,Partial solar eclipse,,
1913-09-30T04:45:49+00:00,Partial solar eclipse,,
1914-02-25T00:13:01+00:00,Annular solar eclipse,35,05
1914-08-21T12:34:27+00:00,Total solar eclipse,14,02
1915-02-14T04:33:20+00:00,Annular solar eclipse,04,02
1915-08-10T22:52:25+00:00,Annular solar eclipse,33,01
1916-02-03T16:00:21+00:00,Total solar eclipse,36,02
1916-07-30T02:06:10+00:00,Annular solar eclipse,24,06
1916-12-24T20:46:22+00:00,Partial solar eclipse,,
1917-01-23T07:28:31+00:00,Partial solar eclipse,,
1917-06-19T13:16:21+00:00,Partial solar eclipse,,
1917-07-19T02:42:42+00:00,Partial solar eclipse,,
1917-12-14T09:27:20+00:00,Annular solar eclipse,17,01
1918-06-08T22:07:43+00:00,Total solar eclipse,23,02
1918-12-03T15:22:02+00:00,Annular solar eclipse,06,07
1919-05-29T13:08:55+00:00,Total solar eclipse,51,06
1919-11-22T15:14:12+00:00,Annular solar eclipse,37,11
1920-05-18T06:14:55+00:00,Partial solar eclipse,,
1920-11-10T15:52:15+00:00,Partial solar eclipse,,
1921-04-08T09:15:01+00:00,Annular solar eclipse,50,01
1921-10-01T12:35:58+00:00,Total solar eclipse,52,01
1922-03-28T13:05:26+00:00,Annular solar eclipse,50,07
1922-09-21T04:40:31+00:00,Total solar eclipse,59,05
1923-03-17T12:44:58+00:00,Annular solar eclipse,51,07
1923-09-10T20:47:29+00:00,Total solar eclipse,37,03
1924-03-05T15:44:20+00:00,Partial solar eclipse,,
1924-07-31T19:58:20+00:00,Partial solar eclipse,,
