datetime,event_type,duration_minutes,duration_seconds
1595-11-01T21:36:53+00:00,Partial solar eclipse,,
1596-03-28T19:43:19+00:00,Annular solar eclipse,42,06
1596-09-22T04:07:03+00:00,Total solar eclipse,50,02
1597-03-17T23:22:39+00:00,Annular solar eclipse,08,02
1597-09-11T15:01:22+00:00,Annular solar eclipse,35,01
1598-03-07T10:10:01+00:00,Total solar eclipse,33,01
1598-08-31T18:48:48+00:00,Annular solar eclipse,,
1599-01-26T15:37:11+00:00,Partial solar eclipse,,
1599-07-22T04:45:15+00:00,Partial solar eclipse,,
1600-01-16T05:12:46+00:00,Annular solar eclipse,14,00
1600-07-10T12:35:58+00:00,Total solar eclipse,08,02
1601-01-04T12:24:38+00:00,Annular solar eclipse,13,07
1601-06-30T03:03:59+00:00,Total solar eclipse,37,06
1601-12-24T12:50:31+00:00,Annular solar eclipse,14,10
1602-05-21T13:06:44+00:00,Partial solar eclipse,,
1602-06-19T20:19:21+00:00,Partial solar eclipse,,
1602-11-13T20:03:05+00:00,Partial solar eclipse,,
1603-05-11T01:44:59+00:00,Annular solar eclipse,07,00
1603-11-03T05:54:55+00:00,Total solar eclipse,31,01
1604-04-29T07:07:21+00:00,Annular solar eclipse,12,06
1604-10-22T21:03:48+00:00,Total solar eclipse,12,05
1605-04-18T07:26:44+00:00,Annular solar eclipse,43,06
1605-10-12T12:59:58+00:00,Total solar eclipse,43,02
1606-03-08T20:45:39+00:00,Partial solar eclipse,,
1606-09-02T12:07:23+00:00,Partial solar eclipse,,
1607-02-26T09:10:38+00:00,Total solar eclipse,34,03
1607-08-22T14:20:48+00:00,Annular solar eclipse,34,07
1608-02-16T01:03:28+00:00,Total solar eclipse,29,04
1608-08-10T15:00:06+00:00,Annular solar eclipse,46,04
1609-02-04T15:43:43+00:00,Hybrid or annular/total solar eclipse,15,00
1609-07-30T21:07:08+00:00,Partial solar eclipse,,
1609-12-26T07:43:34+00:00,Partial solar eclipse,,
1610-06-21T03:23:00+00:00,Total solar eclipse,59,05
1610-12-15T07:06:48+00:00,Annular solar eclipse,56,11
1611-06-10T20:34:25+00:00,Total solar eclipse,16,06
1611-12-04T08:03:43+00:00,Annular solar eclipse,44,05
1612-05-30T10:34:29+00:00,Total solar eclipse,58,00
1612-11-22T16:04:35+00:00,Hybrid or annular/total solar eclipse,01,00
1613-04-20T02:49:29+00:00,Partial solar eclipse,,
1613-05-19T17:43:36+00:00,Partial solar eclipse,,
1613-10-13T20:40:24+00:00,Partial solar eclipse,,
1613-11-12T06:12:15+00:00,Partial solar eclipse,,
1614-04-09T02:52:58+00:00,Annular solar eclipse,22,06
1614-10-03T12:04:51+00:00,Total solar eclipse,22,02
1615-03-29T07:03:24+00:00,Annular solar eclipse,28,01
1615-09-22T22:27:21+00:00,Annular solar eclipse,11,02
1616-03-17T18:21:45+00:00,Total solar eclipse,58,01
1616-09-11T01:44:06+00:00,Annular solar eclipse,42,05
1617-02-06T00:20:23+00:00,Partial solar eclipse,,
1617-03-07T10:05:36+00:00,Partial solar eclipse,,
1617-08-01T11:29:44+00:00,Partial solar eclipse,,
1618-01-26T13:46:44+00:00,Annular solar eclipse,23,00
1618-07-21T19:44:30+00:00,Total solar eclipse,13,02
1619-01-15T20:38:07+00:00,Annular solar eclipse,16,07
1619-07-11T10:29:59+00:00,Total solar eclipse,41,06
1620-01-04T20:51:05+00:00,Annular solar eclipse,13,10
1620-05-31T20:33:45+00:00,Partial solar eclipse,,
1620-06-30T03:46:25+00:00,Partial solar eclipse,,
1620-11-24T04:16:35+00:00,Partial solar eclipse,,
1621-05-21T08:53:44+00:00,Annular solar eclipse,18,00
1621-11-13T14:23:13+00:00,Total solar eclipse,28,01
1622-05-10T13:55:35+00:00,Annular solar eclipse,07,06
1622-11-03T05:34:48+00:00,Total solar eclipse,01,05
1623-04-29T14:16:00+00:00,Annular solar eclipse,54,06
1623-10-23T21:17:10+00:00,Total solar eclipse,31,02
1624-03-19T04:40:36+00:00,Partial solar eclipse,,
1624-04-17T17:16:18+00:00,Partial solar eclipse,,
1624-09-12T19:19:26+00:00,Partial solar eclipse,,
1624-10-12T08:53:55+00:00,Partial solar eclipse,,
1625-03-08T17:32:39+00:00,Total solar eclipse,50,03
1625-09-01T21:06:57+00:00,Annular solar eclipse,37,07
1626-02-26T09:37:26+00:00,Total solar eclipse,42,04
1626-08-21T21:47:42+00:00,Annular solar eclipse,54,04
1627-02-16T00:13:31+00:00,Hybrid or annular/total solar eclipse,15,00
1627-08-11T04:17:14+00:00,Hybrid or annular/total solar eclipse,00,00
1628-01-06T15:52:52+00:00,Partial solar eclipse,,
1628-07-01T10:50:39+00:00,Total solar eclipse,32,05
1628-12-25T15:08:47+00:00,Annular solar eclipse,02,12
1629-06-21T03:59:24+00:00,Total solar eclipse,20,06
1629-12-14T16:19:07+00:00,Annular solar eclipse,38,05
